stock,ticker,market cap,beta,price,sector
Welltower Inc.,HCN^I,n/a,0.73,6.9,n/a
"Bellicum Pharmaceuticals, Inc.",BLCM,$375.06M,0.89,765.1,Health Care
KB Home,KBH,$1.84B,0.42,802.99,Capital Goods
Double Eagle Acquisition Corp.,EAGLU,n/a,1.48,298.84,Finance
Emmis Communications Corporation,EMMS,$39.09M,0.23,973.31,Consumer Services
"Perficient, Inc.",PRFT,$612.6M,0.48,72.26,Technology
Superconductor Technologies Inc.,SCON,$17.48M,0.39,352.04,Technology
PennantPark Investment Corporation,PNNT,$531.54M,0.93,779.91,n/a
Harmony Merger Corp.,HRMN,$149.83M,1.91,925.95,Public Utilities
Westport Fuel Systems Inc,WPRT,$216.91M,0.8,56.46,Energy
Seanergy Maritime Holdings Corp,SHIPW,n/a,1.74,226.13,Transportation
The Cushing MLP Total Return Fund,SRV,$79.8M,0.32,63.62,n/a
Container Store (The),TCS,$277.68M,0.86,813.47,Consumer Services
EP Energy Corporation,EPE,$1.02B,1.84,842.16,Energy
Harmonic Inc.,HLIT,$430.84M,1.14,548.79,Technology
"Kinsale Capital Group, Inc.",KNSL,$780.46M,0.63,383.73,Finance
Zions Bancorporation,ZB^G,n/a,0.46,537.08,n/a
"Industrial Services of America, Inc.",IDSA,$10.9M,0.24,977.15,Consumer Durables
AllianzGI Equity & Convertible Income Fund,NIE,$543.65M,1.07,61.22,n/a
"PRA Health Sciences, Inc.",PRAH,$4.54B,1.41,491.14,Health Care
Masimo Corporation,MASI,$4.69B,0.89,617.91,Health Care
"Benchmark Electronics, Inc.",BHE,$1.65B,1.3,289.79,Technology
"Proteon Therapeutics, Inc.",PRTO,$20.13M,1.72,931.05,Health Care
"EQT Midstream Partners, LP",EQM,$5.64B,0.57,580.37,Public Utilities
Zoetis Inc.,ZTS,$30.7B,0.73,45.56,Health Care
Gladstone Capital Corporation,GLAD,$253.65M,2,832.93,n/a
Travelzoo,TZOO,$131.24M,1.54,73.27,Technology
Travelzoo,TZOO,$131.24M,1.7,134.95,Technology
Sony Corp Ord,SNE,$47.14B,0.91,300.42,Consumer Non-Durables
Lightbridge Corporation,LTBR,$15.36M,1.83,274.73,Consumer Services
"Rightside Group, Ltd.",full_name,$208.04M,1.63,290.11,Miscellaneous
Finisar Corporation,FNSR,$3.1B,0.53,929.76,Technology
Barclays PLC,BCS^D,n/a,0.36,45.65,n/a
Landmark Infrastructure Partners LP,LMRKO,n/a,1.71,185.61,Consumer Services
Strattec Security Corporation,STRT,$121.47M,0.84,831.79,Capital Goods
"ARMOUR Residential REIT, Inc.",ARR^B,n/a,1.2,782.35,n/a
"American Capital Senior Floating, Ltd.",ACSF,$125.5M,1.9,599.88,n/a
"Valeritas Holdings, Inc.",VLRX,$35.24M,0.31,59.28,Health Care
"Dunkin' Brands Group, Inc.",DNKN,$5.17B,0.22,16.14,Consumer Services
"Hennessy Advisors, Inc.",HNNA,$120.43M,1.09,659.17,Finance
"JPMorgan China Region Fund, Inc.",JFC,$128.5M,1.86,42.26,n/a
Ingevity Corporation,NGVT,$2.41B,1.6,717.73,Basic Industries
Nuvectra Corporation,NVTR,$132.49M,1.59,540.55,Health Care
Sussex Bancorp,SBBX,$119.06M,0.61,778.27,Finance
"CryoLife, Inc.",CRY,$615.32M,0.28,709.71,Health Care
"Intrepid Potash, Inc",IPI,$281.36M,1.73,798.51,Basic Industries
"Western Refining Logistics, LP",WNRL,$1.59B,0.47,904.59,Energy
First Defiance Financial Corp.,FDEF,$547.07M,1.35,10,Finance
"Micronet Enertec Technologies, Inc.",MICT,$6.89M,0.68,424.32,Capital Goods
Globus Maritime Limited,GLBS,$35.37M,1.44,679.67,Transportation
BioShares Biotechnology Clinical Trials Fund,BBC,$23.35M,0.21,397.68,n/a
Atkore International Group Inc.,ATKR,$1.39B,1.55,967.28,Miscellaneous
"Neenah Paper, Inc.",NP,$1.35B,0.84,781.5,Basic Industries
Jewett-Cameron Trading Company,JCTCF,$28.24M,1.32,766.76,Consumer Services
The AES Corporation,AES,$7.87B,1.74,291.06,Basic Industries
Anavex Life Sciences Corp.,AVXL,$221.78M,0.8,26.94,Health Care
"SunTrust Banks, Inc.",STI^A,n/a,1,314.47,n/a
"Templeton Global Income Fund, Inc.",GIM,$896.08M,0.42,633.71,n/a
Cincinnati Bell Inc,CBB,$804.76M,1.38,275.4,Public Utilities
"Continental Resources, Inc.",CLR,$12.39B,1.96,582.58,Energy
"Twin Disc, Incorporated",TWIN,$194.79M,1.86,588.15,Technology
"RPC, Inc.",RES,$4.58B,0.88,943.42,Energy
"CF Industries Holdings, Inc.",CF,$6.43B,1.29,582.43,Basic Industries
ARRIS International plc,ARRS,$5.44B,1.52,109.89,Technology
BioAmber Inc.,BIOA,$89.35M,1.89,360.57,Basic Industries
M III Acquisition Corp.,MIIIW,n/a,0.99,210.73,Finance
Vanguard Russell 2000 Value ETF,VTWV,$167.72M,1.62,533.53,n/a
"Conifer Holdings, Inc.",CNFR,$51.52M,0.05,485.34,Finance
Pacific Mercantile Bancorp,PMBC,$198.16M,1.78,488.94,Finance
"Alaska Air Group, Inc.",ALK,$10.97B,1.67,669.55,Transportation
Mistras Group Inc,MG,$617.06M,1.34,717.46,Consumer Services
"Lennox International, Inc.",LII,$8.05B,0.44,58.96,Capital Goods
"United Financial Bancorp, Inc. ",UBNK,$885.73M,1.32,765.87,Finance
Xinyuan Real Estate Co Ltd,XIN,$317.4M,0.99,276.23,Basic Industries
United Community Financial Corp.,UCFC,$433.25M,0.18,469.2,Finance
ePlus inc.,PLUS,$1.05B,0.74,630.05,Technology
Martin Midstream Partners L.P.,MMLP,$688.3M,1.23,420.84,Energy
"Templeton Dragon Fund, Inc.",TDF,$675.67M,1.31,920.66,n/a
"Bassett Furniture Industries, Incorporated",BSET,$342.51M,1.89,91.34,Consumer Durables
Hospitality Properties Trust,HPT,$5.04B,0.13,594.22,Consumer Services
"The Michaels Companies, Inc.",MIK,$3.53B,0.87,966.49,Consumer Services
Bel Fuse Inc.,BELFA,$252.29M,0.18,163.18,Capital Goods
VictoryShares US EQ Income Enhanced Volatility Wtd ETF,CDC,$28.55M,0.84,113.76,n/a
Harmony Merger Corp.,HRMN,$149.83M,1.33,499.81,Public Utilities
"Voyager Therapeutics, Inc.",VYGR,$263.7M,1.18,678.42,Health Care
InterXion Holding N.V.,INXN,$3.12B,0.54,697.2,Technology
Ashford Hospitality Trust Inc,AHT^A,n/a,0.4,208.57,n/a
"SunCoke Energy Partners, L.P.",SXCP,$790.37M,1.03,117.88,Basic Industries
"ASB Bancorp, Inc.",ASBB,$167.24M,1.15,669.46,Finance
Artesian Resources Corporation,ARTNA,$380.1M,1.92,205.67,Public Utilities
Gabelli Global Small and Mid Cap Value Trust (The),GGZ^A,n/a,1.47,445.64,n/a
Eagle Point Credit Company Inc.,ECCA,n/a,0.91,252.32,n/a
Ellington Residential Mortgage REIT,EARN,$140.16M,1.84,11.96,Consumer Services
"Churchill Downs, Incorporated",CHDN,$2.83B,0.68,56.13,Consumer Services
First Trust CEF Income Opportunity ETF,FCEF,$28.08M,0.19,509.99,n/a
North Atlantic Drilling Ltd.,NADL,$50.64M,0.88,139.56,Energy
MagnaChip Semiconductor Corporation,MX,$305.6M,0.19,858.29,Technology
"American Midstream Partners, LP",AMID,$695.78M,1.4,847.35,Public Utilities
First Trust Emerging Markets AlphaDEX Fund,FEM,$274.06M,1.53,728.91,n/a
MicroStrategy Incorporated,MSTR,$2.09B,0.01,709.73,Technology
Mistras Group Inc,MG,$617.06M,1.63,851.66,Consumer Services
VictoryShares International Volatility Wtd ETF,CIL,n/a,0.5,51.23,n/a
Capital One Financial Corporation,COF^F,n/a,1.79,373.12,n/a
"Jason Industries, Inc.",JASNW,n/a,1.05,727.88,Consumer Durables
Global Partner Acquisition Corp.,GPACW,n/a,1.05,685.28,Health Care
Kinross Gold Corporation,KGC,$5.1B,0.46,162.4,Basic Industries
"SunCoke Energy, Inc.",SXC,$614.25M,1.53,831.7,Basic Industries
"Walgreens Boots Alliance, Inc.",WBA,$84.79B,1.52,951.22,Health Care
"Manhattan Bridge Capital, Inc",LOAN,$40.19M,0.23,678.31,Consumer Services
Nano Dimension Ltd.,NNDM,$60.98M,1.7,580.46,Technology
"China Customer Relations Centers, Inc.",CCRC,$276.59M,1.76,260.51,Miscellaneous
"Legg Mason, Inc.",LMHB,n/a,1.83,478.93,Finance
Oasmia Pharmaceutical AB,OASM,$38.24M,0.56,648.48,Health Care
Gabelli Global Small and Mid Cap Value Trust (The),GGZ,$95.4M,1.15,507.92,n/a
Main Street Capital Corporation,MSCA,n/a,0.15,846.89,n/a
"TCG BDC, Inc.",CGBD,n/a,1.65,517.5,n/a
Associated Banc-Corp,ASB^C,n/a,1.57,75.05,n/a
Vanguard International Dividend Appreciation ETF,VIGI,$408.55M,1.15,204.12,n/a
VictoryShares Developed Enhanced Volatility Wtd ETF,CIZ,n/a,1.17,327.27,n/a
"AmTrust Financial Services, Inc.",AFSI^B,n/a,1.05,459.2,n/a
"Alnylam Pharmaceuticals, Inc.",ALNY,$6.56B,1.15,153.8,Health Care
"General American Investors, Inc.",GAM^B,n/a,1.99,569.63,n/a
BorgWarner Inc.,BWA,$8.7B,0.81,376.37,Capital Goods
"Myriad Genetics, Inc.",MYGN,$1.63B,1.91,393,Health Care
"Whole Foods Market, Inc.",WFM,$13.64B,1.68,440.85,Consumer Services
"AG Mortgage Investment Trust, Inc.",MITT^A,n/a,0.47,490.08,n/a
"MRV Communications, Inc.",MRVC,$63.58M,0.27,670.71,Technology
StoneMor Partners L.P.,STON,$345.32M,1.34,876.28,Consumer Services
"Flowers Foods, Inc.",FLO,$3.7B,0.45,363.08,Consumer Non-Durables
"Spectrum Pharmaceuticals, Inc.",SPPI,$522.68M,1.92,920.01,Health Care
Lannett Co Inc,LCI,$688.77M,1.9,737.11,Health Care
La Jolla Pharmaceutical Company,LJPC,$587.6M,0.7,642.31,Health Care
"ALJ Regional Holdings, Inc.",ALJJ,$113.53M,0.41,707.68,Miscellaneous
"American Eagle Outfitters, Inc.",AEO,$2.05B,1.93,668.83,Consumer Services
"SCYNEXIS, Inc.",SCYX,$42.31M,1.84,674.95,Health Care
Mack-Cali Realty Corporation,CLI,$2.54B,1.45,436.69,Consumer Services
Teekay Offshore Partners L.P.,TOO^A,n/a,0.34,556.28,n/a
Electrum Special Acquisition Corporation,ELECU,$260.75M,1.21,126.31,Finance
American Tower Corporation (REIT),AMT^B,n/a,0.92,696.07,n/a
Jazz Pharmaceuticals plc,JAZZ,$9B,0.51,929.13,Health Care
Mesabi Trust,MSB,$173.18M,0.28,209.41,Basic Industries
Crown Castle International Corporation,CCI,$37.04B,0.17,904.88,Consumer Services
ACADIA Pharmaceuticals Inc.,ACAD,$3.31B,0.89,737.43,Health Care
Coca-Cola Company (The),KO,$193.59B,0.74,280.79,Consumer Non-Durables
BioShares Biotechnology Clinical Trials Fund,BBC,$23.35M,1.41,750.95,n/a
"Gilead Sciences, Inc.",GILD,$83.79B,1.85,510.34,Health Care
RPX Corporation,RPXC,$656.65M,1.51,928.76,Miscellaneous
"Meta Financial Group, Inc.",CASH,$836.36M,1.86,522.69,Finance
Grupo Supervielle S.A.,SUPV,$1.24B,1,48.77,Finance
"Cedar Realty Trust, Inc.",CDR^B,n/a,0.1,961.83,n/a
Simmons First National Corporation,SFNC,$1.7B,0.38,95.5,Finance
Nuveen North Carolina Quality Municipal Income Fd,NNC,$220.34M,0.89,19.42,n/a
First Trust Developed Markets Ex-US AlphaDEX Fund,FDT,$458.32M,0.74,3.24,n/a
"Malibu Boats, Inc.",MBUU,$444.68M,0.42,714.04,Capital Goods
Ducommun Incorporated,DCO,$365.69M,1.04,233.41,Capital Goods
AK Steel Holding Corporation,AKS,$1.89B,0.65,653.22,Basic Industries
Great Plains Energy Inc,GXP,$6.45B,1.86,787.92,Public Utilities
"Sun Bancorp, Inc.",SNBC,$483.16M,1.38,610.34,Finance
"Virtus Investment Partners, Inc.",VRTS,$785.49M,1.43,426.11,Finance
Lannett Co Inc,LCI,$688.77M,0.92,407.4,Health Care
Molson Coors Brewing  Company,TAP,$14.14B,1.08,691.83,Consumer Non-Durables
E.I. du Pont de Nemours and Company,DD^B,n/a,0.47,918.83,Basic Industries
"Hertz Global Holdings, Inc",HTZ,$782.71M,0.62,213.46,Consumer Services
"DWS High Income Opportunities Fund, Inc.",DHG,$226.66M,1.93,359.29,n/a
Nuveen NASDAQ 100 Dynamic Overwrite Fund,QQQX,$781.34M,0.86,97.23,n/a
Cementos Pacasmayo S.A.A.,CPAC,$979.51M,0.4,770.71,Capital Goods
Weyerhaeuser Company,WY,$25.31B,1.59,675.18,Consumer Services
"Telephone and Data Systems, Inc.",TDI,n/a,0.28,124.78,Public Utilities
PowerShares Nasdaq Internet Portfolio,PNQI,$388.09M,0.45,767.55,n/a
Eaton Vance NextShares Trust II,EVLMC,n/a,0.77,596.08,n/a
Blackrock California Municipal 2018 Term Trust,BJZ,$97.01M,1.47,567,n/a
DXC Technology Company,DXC,$21.19B,1.57,908.71,Technology
"Dominion Energy, Inc.",DCUD,n/a,1.87,42.5,Public Utilities
"Akorn, Inc.",AKRX,$4.17B,0.07,777.29,Health Care
"Truett-Hurst, Inc.",THST,$9.12M,1.63,673.27,Consumer Non-Durables
DTE Energy Company,DTQ,n/a,1.08,14.17,Public Utilities
"SeaChange International, Inc.",SEAC,$95.04M,1.6,452.7,Technology
NXT-ID Inc.,NXTDW,n/a,1.59,16.34,Consumer Services
"Biostage, Inc.",BSTG,$12.03M,1.16,365.86,Health Care
"Knoll, Inc.",KNL,$1.04B,0.73,506.96,Consumer Durables
"SunTrust Banks, Inc.",STI^A,n/a,0.74,348.43,n/a
Legg Mason Global Infrastructure ETF,INFR,n/a,0.83,870.52,n/a
Vanguard Short-Term Corporate Bond ETF,VCSH,$19.14B,0.24,714.21,n/a
"Cobalt International Energy, Inc.",CIE,$93.34M,0.03,289.38,Energy
Optibase Ltd.,OBAS,$52.14M,0.36,93.5,Finance
"Amber Road, Inc.",AMBR,$217.53M,0,358.05,Technology
FIRST REPUBLIC BANK,FRC^H,n/a,1.35,939.93,n/a
Open Text Corporation,OTEX,$8.28B,0.83,587.25,Technology
Honeywell International Inc.,HON,$102.63B,1.25,766.84,Capital Goods
Progress Software Corporation,PRGS,$1.41B,0.22,686.06,Technology
"Mondelez International, Inc.",MDLZ,$68.57B,0.42,635.74,Consumer Non-Durables
Adobe Systems Incorporated,ADBE,$68.19B,0.52,553.77,Technology
"Concert Pharmaceuticals, Inc.",CNCE,$299.64M,1.34,669.4,Health Care
Liberty Interactive Corporation,QVCB,$10.92B,1.55,147.09,Consumer Services
"Apollo Endosurgery, Inc.",APEN,$72.33M,1.99,384.53,Health Care
Flaherty & Crumrine Preferred Securities Income Fund Inc,FFC,$961.1M,1.79,227.42,n/a
"CatchMark Timber Trust, Inc.",CTT           ,$452.92M,0.05,213.11,Consumer Services
Ashford Hospitality Trust Inc,AHT^F,n/a,1.35,660.4,n/a
W.R. Berkley Corporation,WRB^D,n/a,1.63,733.93,n/a
AK Steel Holding Corporation,AKS,$1.89B,1.52,855.85,Basic Industries
Eaton Vance NextShares Trust,EVGBC,n/a,1.2,80.64,n/a
Owens Corning Inc,OC,$7.18B,1.56,571.74,Capital Goods
Macquarie Global Infrastructure Total Return Fund Inc.,MGU,$305.47M,1.3,765.03,n/a
POSCO,PKX,$19.18B,0.01,386.2,Basic Industries
NovoCure Limited,NVCR,$1.3B,0.94,765.64,Health Care
"Parsley Energy, Inc.",PE,$8.13B,1.8,511.78,Energy
Annaly Capital Management Inc,NLY,$12.59B,1.62,536.33,Consumer Services
"Mohawk Industries, Inc.",MHK,$17.98B,0.64,40.59,Consumer Durables
Invesco Plc,IVZ,$14.08B,0.81,869.34,Finance
"CryoLife, Inc.",CRY,$615.32M,1.17,500.07,Health Care
Kopin Corporation,KOPN,$266.19M,1.27,219.03,Technology
Colonial Investment Grade Municipal Trust,CXH,$116.91M,0.1,226.31,n/a
VictoryShares US 500 Enhanced Volatility Wtd ETF,CFO,$30.92M,1.94,11.45,n/a
CYREN Ltd.,CYRN,$80.33M,0.17,180.69,Technology
LyondellBasell Industries NV,LYB,$32.58B,1.21,594.74,Basic Industries
"Southside Bancshares, Inc.",SBSI,$1.02B,1.58,149.77,Finance
BHP Billiton Limited,BHP,$92.34B,0.79,328.95,Basic Industries
Tredegar Corporation,TG,$518.61M,1.46,330.73,Capital Goods
"A-Mark Precious Metals, Inc.",AMRK,$112.5M,1.09,557.58,Basic Industries
"Papa Murphy's Holdings, Inc.",FRSH,$69M,1.86,795.67,Consumer Services
Vaalco Energy Inc,EGY,$52.67M,0.92,734.66,Energy
"Coherus BioSciences, Inc.",CHRS,$761.63M,1.93,537.7,Health Care
Immersion Corporation,IMMR,$255.79M,1.45,573.32,Technology
"Reis, Inc",REIS,$237.79M,0.91,547.47,Miscellaneous
500.com Limited,WBAI,$384.71M,0.12,516.28,Consumer Services
"TJX Companies, Inc. (The)",TJX,$46.6B,1.49,331.41,Consumer Services
Kroger Company (The),KR,$20.34B,0.68,749.58,Consumer Services
American Campus Communities Inc,ACC,$6.48B,1.81,797.07,Consumer Services
"Nuveen New York Municipal Value Fund, Inc.",NNY,$156.44M,1.23,380.14,n/a
Advent Claymore Convertible Securities and Income Fund,AVK,$378.24M,1.56,828.71,n/a
Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,OMAB,$2.25B,0.53,650.24,Transportation
Annaly Capital Management Inc,NLY^A,n/a,1.73,552.52,n/a
"MidWestOne Financial Group, Inc.",MOFG,$437.4M,1.67,136.33,Finance
"Blackrock MuniYield California Insured Fund, Inc.",MCA,$517.81M,1.31,550.36,n/a
Korea Electric Power Corporation,KEP,$24.6B,0.02,924.19,Public Utilities
EMCORE Corporation,EMKR,$299.12M,0.53,205.92,Technology
CBX (Listing Market NYSE Networks AE,CBX,n/a,0.48,803.42,n/a
"Turkish Investment Fund, Inc. (The)",TKF,$42.8M,0.09,903.06,n/a
Moog Inc.,MOG.A,n/a,1.18,444.18,n/a
Kewaunee Scientific Corporation,KEQU,$61.97M,0.63,524.08,Capital Goods
Alleghany Corporation,Y,$9.37B,1.62,284.86,Finance
Nuveen Floating Rate Income Fund,JFR,$663.3M,1.27,493.43,n/a
CNB Financial Corporation,CCNE,$357.95M,0.19,856.88,Finance
"Superior Energy Services, Inc.",SPN,$1.59B,0.14,242.32,Energy
Pimco Municipal Income Fund II,PML,$815.13M,1.89,383.23,n/a
"ICC Holdings, Inc.",ICCH,$53.83M,0.27,55.66,Finance
MSCI Inc,MSCI,$9.55B,0.76,823.58,Miscellaneous
PartnerRe Ltd.,PRE^F,n/a,1.15,190.88,n/a
First Trust High Income Long Short Fund,FSD,$607.04M,1.02,872.81,n/a
"Ross Stores, Inc.",ROST,$23.38B,1.75,188.3,Consumer Services
Woori Bank,WF,$10.29B,0.43,900.34,Finance
"Pulmatrix, Inc.",PULM,$45.78M,0.25,43.97,Health Care
EchoStar Corporation,SATS,$5.8B,1.45,699.81,Technology
"Blackrock MuniHoldings Quality Fund, Inc.",MUS,$177.4M,0.78,448.4,n/a
First Trust Nasdaq Semiconductor ETF,FTXL,$21.58M,1.74,624.61,n/a
Capitala Finance Corp.,CPTAG,n/a,0.1,503.23,n/a
China New Borun Corporation,BORN,$34.21M,0.7,936.9,Consumer Non-Durables
"Rudolph Technologies, Inc.",RTEC,$781.27M,1.73,870.89,Capital Goods
Blackrock Defined Opportunity Credit Trust,BHL,$123.81M,1.07,404.78,n/a
"Blackrock Debt Strategies Fund, Inc.",DSU,$717.08M,1.48,208.1,n/a
PTC Inc.,PTC,$6.6B,0.65,256.07,Technology
Hersha Hospitality Trust,HT^E,n/a,1.44,363.63,n/a
"MasTec, Inc.",MTZ,$3.69B,0.64,421.47,Basic Industries
